Method,Function,Time_ms
baseline,hot_path,16
baseline,recursive,4
baseline,array_ops,13
baseline,memory_ops,2
baseline,hot_path,16
baseline,recursive,4
baseline,array_ops,13
baseline,memory_ops,3
baseline,hot_path,15
baseline,recursive,4
baseline,array_ops,12
baseline,memory_ops,2
baseline,hot_path,17
baseline,recursive,4
baseline,array_ops,12
baseline,memory_ops,3
baseline,hot_path,20
baseline,recursive,4
baseline,array_ops,13
baseline,memory_ops,3
baseline,hot_path,16
baseline,recursive,3
baseline,array_ops,12
baseline,memory_ops,2
baseline,hot_path,16
baseline,recursive,3
baseline,array_ops,12
baseline,memory_ops,2
baseline,hot_path,16
baseline,recursive,3
baseline,array_ops,12
baseline,memory_ops,2
baseline,hot_path,18
baseline,recursive,4
baseline,array_ops,13
baseline,memory_ops,3
baseline,hot_path,17
baseline,recursive,4
baseline,array_ops,13
baseline,memory_ops,3
ldpreload,hot_path,15
ldpreload,recursive,4
ldpreload,array_ops,12
ldpreload,memory_ops,2
ldpreload,hot_path,17
ldpreload,recursive,4
ldpreload,array_ops,12
ldpreload,memory_ops,2
ldpreload,hot_path,16
ldpreload,recursive,3
ldpreload,array_ops,12
ldpreload,memory_ops,2
ldpreload,hot_path,16
ldpreload,recursive,4
ldpreload,array_ops,12
ldpreload,memory_ops,2
ldpreload,hot_path,16
ldpreload,recursive,4
ldpreload,array_ops,12
ldpreload,memory_ops,2
ldpreload,hot_path,16
ldpreload,recursive,4
ldpreload,array_ops,12
ldpreload,memory_ops,2
ldpreload,hot_path,16
ldpreload,recursive,4
ldpreload,array_ops,12
ldpreload,memory_ops,2
ldpreload,hot_path,16
ldpreload,recursive,3
ldpreload,array_ops,12
ldpreload,memory_ops,2
ldpreload,hot_path,16
ldpreload,recursive,3
ldpreload,array_ops,12
ldpreload,memory_ops,2
ldpreload,hot_path,16
ldpreload,recursive,3
ldpreload,array_ops,12
ldpreload,memory_ops,2
frida_onenter_v8,hot_path,116
frida_onenter_v8,recursive,5
frida_onenter_v8,array_ops,15
frida_onenter_v8,memory_ops,2
frida_onenter_v8,hot_path,143
frida_onenter_v8,recursive,5
frida_onenter_v8,array_ops,12
frida_onenter_v8,memory_ops,2
frida_onenter_v8,hot_path,3299
frida_onenter_v8,recursive,4
frida_onenter_v8,array_ops,13
frida_onenter_v8,memory_ops,2
frida_onenter_v8,hot_path,761
frida_onenter_v8,recursive,4
frida_onenter_v8,array_ops,14
frida_onenter_v8,memory_ops,3
frida_onenter_v8,hot_path,6019
frida_onenter_v8,recursive,4
frida_onenter_v8,array_ops,12
frida_onenter_v8,memory_ops,2
frida_onleave_v8,hot_path,949
frida_onleave_v8,recursive,4
frida_onleave_v8,array_ops,12
frida_onleave_v8,memory_ops,2
frida_onleave_v8,hot_path,2236
frida_onleave_v8,recursive,4
frida_onleave_v8,array_ops,12
frida_onleave_v8,memory_ops,2
frida_onleave_v8,hot_path,406
frida_onleave_v8,recursive,4
frida_onleave_v8,array_ops,13
frida_onleave_v8,memory_ops,4
frida_onleave_v8,hot_path,29
frida_onleave_v8,recursive,4
frida_onleave_v8,array_ops,13
frida_onleave_v8,memory_ops,2
frida_onleave_v8,hot_path,2079
frida_onleave_v8,recursive,4
frida_onleave_v8,array_ops,14
frida_onleave_v8,memory_ops,2
frida_both_v8,hot_path,233
frida_both_v8,recursive,6
frida_both_v8,array_ops,15
frida_both_v8,memory_ops,5
frida_both_v8,hot_path,40
frida_both_v8,recursive,4
frida_both_v8,array_ops,13
frida_both_v8,memory_ops,3
frida_both_v8,hot_path,23
frida_both_v8,recursive,3
frida_both_v8,array_ops,12
frida_both_v8,memory_ops,2
frida_both_v8,hot_path,679
frida_both_v8,recursive,4
frida_both_v8,array_ops,12
frida_both_v8,memory_ops,2
frida_both_v8,hot_path,7009
frida_both_v8,recursive,4
frida_both_v8,array_ops,13
frida_both_v8,memory_ops,2
frida_onenter_qjs,hot_path,3906
frida_onenter_qjs,recursive,5
frida_onenter_qjs,array_ops,18
frida_onenter_qjs,memory_ops,4
frida_onenter_qjs,hot_path,2192
frida_onenter_qjs,recursive,3
frida_onenter_qjs,array_ops,12
frida_onenter_qjs,memory_ops,2
frida_onenter_qjs,hot_path,7394
frida_onenter_qjs,recursive,4
frida_onenter_qjs,array_ops,12
frida_onenter_qjs,memory_ops,2
frida_onenter_qjs,hot_path,11266
frida_onenter_qjs,recursive,4
frida_onenter_qjs,array_ops,13
frida_onenter_qjs,memory_ops,2
frida_onenter_qjs,hot_path,8477
frida_onenter_qjs,recursive,4
frida_onenter_qjs,array_ops,12
frida_onenter_qjs,memory_ops,2
frida_onleave_qjs,hot_path,6693
frida_onleave_qjs,recursive,4
frida_onleave_qjs,array_ops,13
frida_onleave_qjs,memory_ops,2
frida_onleave_qjs,hot_path,5579
frida_onleave_qjs,recursive,4
frida_onleave_qjs,array_ops,12
frida_onleave_qjs,memory_ops,2
frida_onleave_qjs,hot_path,745
frida_onleave_qjs,recursive,5
frida_onleave_qjs,array_ops,14
frida_onleave_qjs,memory_ops,3
frida_onleave_qjs,hot_path,43043
frida_onleave_qjs,recursive,4
frida_onleave_qjs,array_ops,12
frida_onleave_qjs,memory_ops,2
frida_onleave_qjs,hot_path,42250
frida_onleave_qjs,recursive,9
frida_onleave_qjs,array_ops,15
frida_onleave_qjs,memory_ops,3
frida_both_qjs,hot_path,38956
frida_both_qjs,recursive,5
frida_both_qjs,array_ops,12
frida_both_qjs,memory_ops,2
frida_both_qjs,hot_path,34163
frida_both_qjs,recursive,4
frida_both_qjs,array_ops,12
frida_both_qjs,memory_ops,2
frida_both_qjs,hot_path,15824
frida_both_qjs,recursive,4
frida_both_qjs,array_ops,12
frida_both_qjs,memory_ops,2
frida_both_qjs,hot_path,24397
frida_both_qjs,recursive,4
frida_both_qjs,array_ops,24
frida_both_qjs,memory_ops,2
frida_both_qjs,hot_path,17859
frida_both_qjs,recursive,5
frida_both_qjs,array_ops,14
frida_both_qjs,memory_ops,4
